"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_20
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 2)",1.0203535339747538
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 0)",1.025612044050831
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 1)",1.0014652423258212
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 2)",1.0105332498551776
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 0)",1.0156648129490282
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 1)",1.024082374257236
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 2)",1.0108122346619144
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 0)",1.0277639416043738
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 1)",1.021124058279048
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 2)",1.044000331005655
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 0)",1.0463585626724252
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 1)",1.0322773267127412
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 2)",1.0292546895583408
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 0)",1.0304517581649435
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 1)",1.0326947536217048
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 2)",1.0277185717168285
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 0)",1.0247446124190756
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 1)",1.0273648666651378
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 2)",1.019020524877206
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 0)",1.0140218467608628
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 1)",1.0244145229339203
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 2)",1.0235148604652893
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 0)",1.0057961728067728
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 1)",1.0281201829859932
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 2)",1.038003759604497
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 0)",0.8688773732247582
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 1)",1.0196507728395643
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 2)",1.0256541776595731
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 0)",1.0249094623412789
