"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_nonlin_channel
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 1)",1.021547421514822
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 2)",1.0171294957454182
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 1)",1.008969979495603
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 2)",1.0013353689004258
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 0)",0.8914604405659142
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 1)",1.0188362805887023
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 2)",1.0303491011416928
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 0)",1.021666788273374
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 1)",1.0363295861530877
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 2)",1.0154017904765262
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 0)",1.0109832654764457
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 1)",1.0267215463687571
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 2)",1.021453968704317
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 0)",1.0185307834751114
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 1)",1.019882841230648
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 2)",1.0178894186557204
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 0)",1.0179465978137905
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 1)",1.041577133342442
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 2)",1.0057010896659022
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 0)",1.0296572539435078
