"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 2)",1.0344140042121102
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 1)",1.034187110314173
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 2)",1.0492873439489303
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 1)",1.0414360918229617
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 2)",1.0314101610932505
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 1)",1.038610267498915
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 2)",1.044985259475673
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 1)",1.0384432583595922
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 2)",1.0351793588789289
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 1)",1.036098954650705
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 2)",1.0466058846404105
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 1)",1.045987240516882
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 2)",1.0362917948657486
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 1)",1.038060971003833
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 2)",1.0169444568408703
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 0)",0.7949920307440774
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 1)",1.0154208675737169
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 2)",1.0329894929342789
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 0)",1.0333587885182702
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 1)",1.018169771304534
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 2)",1.0374400636544296
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 0)",1.0408857847244393
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 1)",1.055083568244083
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 2)",1.048715237684151
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 0)",1.0471127729646437
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 1)",1.0356352484574225
